internal_id,document,version_date,status,section,estar_section,notes
FDA_AIDSF_DATA_MGMT,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe from PDF TOC (D4 seed: data management)"
FDA_AIDSF_TEST_INDEPENDENCE,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: test-data independence / sequestration)"
FDA_AIDSF_SITE_DIVERSITY,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: site diversity)"
FDA_AIDSF_REPRESENTATIVENESS,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: representativeness)"
FDA_AIDSF_REF_STANDARD,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: reference standard)"
FDA_AIDSF_PERF_VALIDATION,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: performance validation; appendix)"
FDA_AIDSF_LABELING_METRICS,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: labeling metrics)"
FDA_AIDSF_SUBGROUP_PERF,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: subgroup performance; appendix)"
FDA_AIDSF_CALIBRATION,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: calibration)"
FDA_AIDSF_MONITORING,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: device performance monitoring)"
